CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
ALTA_CALIFORNIA;Territorio dell'Alta California;;;;;;;;;;;;;x
BALTIC_SEA_COAST;Costa del Mar Baltico;;;;;;;;;;;;;x
BIG_TEXAS;Territorio del Texas;;;;;;;;;;;;;x
BLACK_SEA_COAST;Costa del Mar Nero;;;;;;;;;;;;;x
LOUISIANA_TERRITORY;Territorio della Louisiana;;;;;;;;;;;;;x
MEDITERRANEAN_SEA_COAST;Costa del Mar Mediterraneo;;;;;;;;;;;;;x
RHINELAND_REGION;Renania;;;;;;;;;;;;;x
SMALL_TEXAS;Texas Orientale;;;;;;;;;;;;;x
SUDETENLAND_REGION;Sudetenland;;;;;;;;;;;;;x
UPPER_RIO_GRANDE;Alto Rio Grande;;;;;;;;;;;;;x
GOLD_NOT_1890;Metalli preziosi prima del 1890;;;;;;;;;;;;;x
GOLD_1848_NOT_1900;Metalli preziosi dopo il 1848 e prima del 1900;;;;;;;;;;;;;x
GOLD_1861_NOT_1920;Metalli preziosi dopo il 1860 e prima del 1920;;;;;;;;;;;;;x
GOLD_1893;Metalli preziosi dopo il 1893;;;;;;;;;;;;;x
DIAMONDS_NOT_1910;Diamanti prima del 1910;;;;;;;;;;;;;x
DIAMONDS_1867_NOT_1920;Diamanti dopo il 1867 e prima del 1920;;;;;;;;;;;;;x
RUBBER_1880;Gomma dopo il 1880;;;;;;;;;;;;;x
RUBBER_1890;Gomma dopo il 1890;;;;;;;;;;;;;x
OIL_1870;Petrolio dopo il 1870;;;;;;;;;;;;;x
OIL_1882;Petrolio dopo il 1882;;;;;;;;;;;;;x
OIL_1883;Petrolio dopo il 1883;;;;;;;;;;;;;x
OIL_1885;Petrolio dopo il 1885;;;;;;;;;;;;;x
OIL_1886;Petrolio dopo il 1886;;;;;;;;;;;;;x
OIL_1893;Petrolio dopo il 1893;;;;;;;;;;;;;x
OIL_1896;Petrolio dopo il 1896;;;;;;;;;;;;;x
OIL_1910;Petrolio dopo il 1910;;;;;;;;;;;;;x
OIL_1917;Petrolio dopo il 1917;;;;;;;;;;;;;x
BIG_UKRAINIAN_BREADBASKET;Granaio Ucraino;;;;;;;;;;;;;x
