CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
NEN_rename_desc;Ribattezzare la Nuova Inghilterra è sempre stata un'idea sciocca che non è mai stata condivisa da quelli che vivono nella regione. Ora che quella sensibilità è tornata, è il momento che i veri nomi della Nuova Inghilterra tornino nell'uso comune.;;;;;;;;;;;;;x
NEN_rename_title;Ribattezza l'Indipendenza nella Nuova Inghilterra;;;;;;;;;;;;;x
byzantine_anatolia_desc;Dovremmo ripristinare i veri nomi delle province anatoliche;;;;;;;;;;;;;x
byzantine_anatolia_title;L'Anatolia Bizantina;;;;;;;;;;;;;x
byzantine_armenia_desc;Il ritorno dei territori armeni dovrebbe essere accompagnato dal ripristino dei loro veri nomi.;;;;;;;;;;;;;x
byzantine_armenia_title;L'Armenia Bizantina;;;;;;;;;;;;;x
byzantine_cyrenaica_desc;Mentre avanziamo ad ovest, potremmo ripristinare i nomi originali delle province della Cirenaica.;;;;;;;;;;;;;x
byzantine_cyrenaica_title;La Cirenaica Bizantina;;;;;;;;;;;;;x
byzantine_egypt_desc;L'Egitto ci è stato restituito e dovrebbero essere assegnati i veri antichi nomi delle province.;;;;;;;;;;;;;x
byzantine_egypt_title;L'Egitto Bizantino;;;;;;;;;;;;;x
byzantine_levant_desc;Il Levante è nostro e alle sue province dovrebbero essere ridati i rispettivi nomi antichi.;;;;;;;;;;;;;x
byzantine_levant_title;Il Levante Bizantino;;;;;;;;;;;;;x
byzantine_tripolitania_desc;Alla Provincia di Tripolitania dovrebbe essere assegnato il suo vero nome ed anche alle sue città.;;;;;;;;;;;;;x
byzantine_tripolitania_title;La Tripolitania Bizantina;;;;;;;;;;;;;x
byzantine_tunis_desc;Le terre di Cartagine sono nostre e come simbolo di vittoria dovremmo assegnare dei veri nomi romani alle sue città.;;;;;;;;;;;;;x
byzantine_tunis_title;La Tunisia Bizantina;;;;;;;;;;;;;x
canada_rename_french_desc;Il Canada è nostro di diritto e dovrà usare nomi della nostra cultura.;;;;;;;;;;;;;x
canada_rename_french_title;Ribattezza il Canada!;;;;;;;;;;;;;x
german_rename_qingdao_desc;Per competere con le altre superpotenze europee abbiamo acquisito la città commerciale di Qingdao. Però molti nel nostro governo pensano che questo nome sia straniero, pertanto germanizziamone il nome!;;;;;;;;;;;;;x
german_rename_qingdao_title;Il Porto del Trattato di Qingdao;;;;;;;;;;;;;x
german_rename_southwestafrika_desc;Con la nostra conquista *ehm* voglio dire "missione civilizzatrice" completata, "civilizziamo" ora anche i nomi delle città!;;;;;;;;;;;;;x
german_rename_southwestafrika_title;Ribattezza l'Africa Sudoccidentale;;;;;;;;;;;;;x
japanese_rename_korea_desc;La Corea è nostra di diritto e dovrà usare nomi della nostra cultura.;;;;;;;;;;;;;x
japanese_rename_korea_title;Ribattezza la Corea!;;;;;;;;;;;;;x
korea_rename_korea_desc;La Corea è nostra di diritto e dovrà usare nomi della nostra cultura.;;;;;;;;;;;;;x
korea_rename_korea_title;Ribattezza la Corea!;;;;;;;;;;;;;x
lesotho_rename_desc;Il Lesotho è nostro di diritto e dovrà usare nomi della nostra cultura.;;;;;;;;;;;;;x
lesotho_rename_title;Ribattezza il Lesotho!;;;;;;;;;;;;;x
louisiana_rename_desc;La Louisiana è nostra di diritto e dovrà usare nomi della nostra cultura.;;;;;;;;;;;;;x
louisiana_rename_title;Ribattezza la Louisiana!;;;;;;;;;;;;;x
names_of_the_revolution_desc;La rivoluzione ha trionfato, ma nelle nostre città e nelle nostre province ci sono ancora dei vecchi nomi imperiali e monarchici, che rendono omaggio agli oppressori del proletariato. Cancelliamo questo capitolo e scriviamone uno nuovo basato sugli eroi della rivoluzione.;;;;;;;;;;;;;x
names_of_the_revolution_title;La Macchia Imperiale;;;;;;;;;;;;;x
natalia_rename_desc;La Natalia è nostra di diritto e dovrà usare nomi della nostra cultura.;;;;;;;;;;;;;x
natalia_rename_title;Ribattezza la Natalia!;;;;;;;;;;;;;x
orange_rename_desc;La Colonia del Fiume Orange è nostra di diritto e dovrà usare nomi della nostra cultura.;;;;;;;;;;;;;x
orange_rename_title;Ribattezza la Colonia del Fiume Orange!;;;;;;;;;;;;;x
petrograd_renaming_act2_desc;Sembra che questo sia il momento opportuno per ridare a San Pietroburgo il suo nome originale.;;;;;;;;;;;;;x
petrograd_renaming_act2_title;Ribattezza Pietrogrado;;;;;;;;;;;;;x
petrograd_renaming_act_desc;La guerra con i Tedeschi infuria ed il nostro governo ha una proposta per cambiare il nome della città da San Pietroburgo a Pietrogrado, che significa "Città di Pietro", per rimuovere le parole tedesche Sankt e Burg.;;;;;;;;;;;;;x
petrograd_renaming_act_title;Ribattezza San Pietroburgo;;;;;;;;;;;;;x
reichsland_elsass_desc;Siccome abbiamo acquisito il controllo sulle regioni, prima francesi, dell'Alsazia-Lorena, forse dovremmo anche considerare di cambiare i nomi delle vie? Istituiamo il nuovo Reichsland di Alsazia-Lotaringia!;;;;;;;;;;;;;x
reichsland_elsass_title;Il Reichsland dell'Alsazia-Lorena;;;;;;;;;;;;;x
remove_names_of_the_revolution_desc;I comunisti presero il potere con la forza e ribattezzarono le nostre orgogliose città con i nomi dei loro leader terroristi. È il momento di ritornare alle antiche tradizioni e di seppellire i nomi di queli che portarono il nostro paese alla rovina.;;;;;;;;;;;;;x
remove_names_of_the_revolution_title;La Macchia Comunista;;;;;;;;;;;;;x
rename_alaska_japanese_desc;L'Alaska è nostra di diritto e dovrà usare nomi della nostra cultura.;;;;;;;;;;;;;x
rename_alaska_japanese_title;Ribattezza l'Alaska!;;;;;;;;;;;;;x
rename_alaska_russian_desc;L'Alaska è nostra di diritto e dovrà usare nomi della nostra cultura.;;;;;;;;;;;;;x
rename_alaska_russian_title;Ribattezza l'Alaska!;;;;;;;;;;;;;x
rename_alaska_usa_eng_desc;L'Alaska è nostra di diritto e dovrà usare nomi della nostra cultura.;;;;;;;;;;;;;x
rename_alaska_usa_eng_title;Ribattezza l'Alaska!;;;;;;;;;;;;;x
rename_bismarck_islands_desc;Tombara e Birara sono i nomi originari dei nostri nuovi possedimenti nella Nuova Guinea. Ora è stata avanzata una proposta alla nostra amministrazione perché cambi il nome di queste isole per celebrare il nostro possesso delle nuove colonie.;;;;;;;;;;;;;x
rename_bismarck_islands_title;Ribattezza le Isole della Nuova Guinea;;;;;;;;;;;;;x
rename_bourbon_island_desc;Il Territorio Francese dell'Oceano Indiano è cononsciuto con diversi nomi: Isola della Riunione, Isola Borbone, Isola Bonaparte. Ma ora è il momento di darle un nome più appropriato, uno più in linea con il governo francese attuale.;;;;;;;;;;;;;
rename_bourbon_island_title;Ribattezza l'Isola Borbone;;;;;;;;;;;;;
rename_malvinas_desc;Abbiamo finalmente liberato le Malvinas dal dominio britannico. Ora possiamo ribadire i loro veri nomi!;;;;;;;;;;;;;x
rename_malvinas_title;Le Malvinas sono Argentine;;;;;;;;;;;;;x
rename_new_amsterdam_desc;Ora che siamo liberi di gestire i nostri affari, possiamo scegliere il nostro destino. Di recente siamo finiti sotto l'influenza dei Paesi Bassi ed alcuni suggeriscono che dovremmo ripristinare il vecchio nome di Nuova Amsterdam alla nostra grande città.;;;;;;;;;;;;;x
rename_new_amsterdam_title;Abbraccia il Nostro Patrimonio Olandese;;;;;;;;;;;;;x
rename_northern_mexico_mexico_desc;Gli Americani hanno imposto i loro nomi su molte delle nostre città a nord quando le presero. Ricordiamo loro di nuovo che il Messico rimarrà Messicano!;;;;;;;;;;;;;x
rename_northern_mexico_mexico_title;Il Nord è nostro di nuovo!;;;;;;;;;;;;;x
rename_northern_mexico_usa_desc;Molti dei nostri territori recentemente conquistati nel nord del Messico usano nomi spagnoli, assicuriamoci che conoscano chi comanda ora.;;;;;;;;;;;;;x
rename_northern_mexico_usa_title;Ribattezza il Messico Settentrionale;;;;;;;;;;;;;x
rename_paraguay_desc;Con il Paraguay ora sotto il nostro controllo, si dovrebbe ricreare lo stato della Regione Orientale.;;;;;;;;;;;;;x
rename_paraguay_title;Ripristina la Regione Orientale;;;;;;;;;;;;;x
rename_territories_santa_catarina_desc;Ora che le dispute riguardo le Misiones Orientali sono risolte, il nostro popolo ha cominciato a popolare la regione. Dovremmo modificare le nostre mappe di conseguenza.;;;;;;;;;;;;;x
rename_territories_santa_catarina_title;Colonizza le Misiones Orientali;;;;;;;;;;;;;x
rename_texas_german_desc;Pare che dei nazionalisti americani si siano introdotti nella nostra colonia ed hanno cominciato a ribattezzare le nostre città là, dovremmo risolvere il danno creato. §RNota di Gioco: §W Questa decisione è stata fatta per contrastare la decisione "La Frontiera Americana" che ribattezza molte parti del Texas… quindi sì.;;;;;;;;;;;;;x
rename_texas_german_title;Ribattezza il Texas… di nuovo;;;;;;;;;;;;;x
rename_texas_mexico_desc;Ora che il Texas è tornato sotto il nostro controllo legittimo, dovremmo ribattezzare ufficialmente la regione e le sue province con nomi più adatti.;;;;;;;;;;;;;x
rename_texas_mexico_title;Ribattezza il Tejas;;;;;;;;;;;;;x
rename_texas_usa_desc;Ora che il Texas è tornato sotto il nostro controllo legittimo, dovremmo ribattezzare ufficialmente la regione e le sue province con nomi più adatti.;;;;;;;;;;;;;x
rename_texas_usa_title;Ribattezza il Texas;;;;;;;;;;;;;x
rename_the_congo_desc;Dopo che lo Stato Libero del Congo è stato confermato come La Proprietà Personale del Re Leopoldo II, non è soltanto giusto e ragionevole esplorare ora la regione e, forse, lasciare una piccola impronta personale?;L’Etat Libre du Congo ayant été confirmé comme étant la propriété privée du roi Léopold II, il semble juste et naturel que nous explorions la région, et peut-être y laisser notre marque?;Nachdem der Kongo-Freistaat als persönliches Eigentum von König Leopold II. bestätigt wurde, ist es nur vernünftig und gerecht, dass wir die Region nun erforschen … und ihr vielleicht ein bisschen unseren Stempel aufdrücken.;;;;;;;;;;;x
rename_the_congo_title;Esplora il Congo!;Explorer le Congo!;Kongo erforschen!;;;;;;;;;;;x
rename_the_falklands_argentina_desc;Ora che controlliamo quelle che gli Inglesi chiamavano "Falklands", è il momento di ribattezzarle con qualcosa più in linea con i suoi legittimi proprietari. Le Isole Falklands d'ora in poi saranno conosciute come "Isole Malvinas".;;;;;;;;;;;;;x
rename_the_falklands_argentina_title;La Legge sul Nome delle Malvinas;;;;;;;;;;;;;x
rename_the_falklands_england_desc;Ora che abbiamo ricatturato quelle che gli Argentini chiamano "Malvinas", è il momento di ribattezzarle con qualcosa più in linea con i suoi legittimi proprietari. Le Isole Malvinas d'ora in poi saranno conosciute come "Isole Falklands".;;;;;;;;;;;;;x
rename_the_falklands_england_title;La Legge sul Nome delle Falklands;;;;;;;;;;;;;x
rename_uruguay_desc;Ora che l'Uruguay è sotto il nostro controllo, lo stato tradizionale della Cisplatina dovrebbe essere istituito di nuovo.;;;;;;;;;;;;;x
rename_uruguay_title;Ripristina la Cisplatina;;;;;;;;;;;;;x
renaming_act_lushun_desc;La piccola città portuale chiamata dai Cinesi Lüshun, dai Giapponesi Ryojun e dagli occidentali Port Arthur è ora fermamente nelle nostre mani e per dimostrarlo non c'è niente di meglio che cambiare il suo nome in qualcosa di più vicino alla nostra cultura.;;;;;;;;;;;;;
renaming_act_lushun_title;Ribattezza Lüshun;;;;;;;;;;;;;
restore_alsace_desc;Siccome l'Alsazia è stata ripristinata al suo posto legittimo nella nazione francese, dovremmo probabilmente far tornare i nomi delle vie in Francese.;;;;;;;;;;;;;x
restore_alsace_title;Ripristina l'Alsazia-Lorena!;;;;;;;;;;;;;x
restore_anatolia_desc;Abbiamo fatto tornare l'Anatolia sotto il dominio turco e dovremmo far tornare i nomi rispettivi per le sue province.;;;;;;;;;;;;;x
restore_anatolia_title;Ripristina l'Anatolia;;;;;;;;;;;;;x
restore_armenia_TUR_desc;Ci siamo ripresi le nostre terre armene e dovremmo ripristinare i loro veri nomi.;;;;;;;;;;;;;x
restore_armenia_TUR_title;Ripristina l'Armenia;;;;;;;;;;;;;x
restore_armenia_not_TUR_desc;Dovremmo ripristinare i nomi Armeni nelle province rivenedicati.;;;;;;;;;;;;;x
restore_armenia_not_TUR_title;Ripristina l'Armenia;;;;;;;;;;;;;x
restore_levant_desc;Il Levante è stato ripreso ed i nomi delle sue province dovrebbero essere ripristinati.;;;;;;;;;;;;;x
restore_levant_title;Ripristina il Levante;;;;;;;;;;;;;x
restore_new_amsterdam_desc;I nostri legami con gli Olandesi, anche se indiscutibili, non si sono dimostrati per nulla forti. Siamo una nazione yankee dopo tutto e la nostra grande città dovrebbe portare il suo nome yankee.;;;;;;;;;;;;;x
restore_new_amsterdam_title;Yankee Dopo Tutto;;;;;;;;;;;;;x
restore_paraguay_desc;I Paraguaiani sono stati liberati dal controllo brasiliano. È il momento di ripristinare il loro nome indipendente.;;;;;;;;;;;;;x
restore_paraguay_title;Ripristina il Paraguay;;;;;;;;;;;;;x
restore_uruguay_desc;Gli Uruguaini sono stati liberati dal controllo brasiliano. È il momento di ripristinare il loro nome indipendente.;;;;;;;;;;;;;x
restore_uruguay_title;Ripristina l'Uruguay;;;;;;;;;;;;;x
suazi_rename_desc;Lo Suazi è nostro di diritto e dovrebbe usare un nome della nostra cultura.;;;;;;;;;;;;;x
suazi_rename_title;Ribattezza lo Suazi!;;;;;;;;;;;;;x
transvaal_rename_desc;Il Transvaal è nostro di diritto e dovrebbe usare un nome della nostra cultura.;;;;;;;;;;;;;x
transvaal_rename_title;Ribattezza il Transvaal!;;;;;;;;;;;;;x
zout_rename_desc;Lo Zoutspanberg è nostro di diritto e dovrebbe usare un nome della nostra cultura.;;;;;;;;;;;;;x
zout_rename_title;Ribattezza lo Zoutspanberg!;;;;;;;;;;;;;x
