CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTDESC111011928;Con la guerra e con la diplomazia è stata creata un'unione araba. Dovremmo unirci?;Grâce aux armes et à la diplomatie, une union arabe a été constituée. Devons-nous la rejoindre ?;Durch Krieg und Diplomatie wurde eine arabische Union gegründet. Sollen wir ihr beitreten?;;;;;;;;;;;x
EVTNAME111011928;Forma l'Arabia;Formez l'Arabie;Gründe Arabien;;;;;;;;;;;x
EVTOPTA111011928;Certo!;Bien sûr !;Natürlich!;;;;;;;;;;;x
EVTOPTB111011928;Mai!;Jamais !;Niemals!;;;;;;;;;;;x
EVTDESC152009872;Ci sono disordini tra gli ufficiali nelle forze armate, abbastanza che alcuni di loro stanno diffondendo attivamente dissenso tra le file. Il nostro paese sarebbe migliore, dicono, se l'esercito fosse in carica piuttosto che il governo attuale, potrà essere eletto, ma secondo loro si è dimostrato troppo inefficace. E sembra che molti sotto il loro comando siano d'accordo.;;;;;;;;;;;;;x
EVTNAME152009872;Colpo di Stato?;;;;;;;;;;;;;x
EVTOPTA152009872;Questo porterà a problemi in futuro.;;;;;;;;;;;;;x
EVTDESC152009873;Le nostre forze armate a $CAPITAL$ hanno raggiunto gli edifici governativi: non per svolgere il loro dovere di protezione del governo, ma invece per deporre i nostri leader e per diventare i nostri nuovi governanti. Affermano che il nostro paese sia in uno stato di "sollevazione" e che solo l'esercito possa ripristinare l'ordine.;;;;;;;;;;;;;x
EVTNAME152009873;Colpo di Stato Militare;;;;;;;;;;;;;x
EVTOPTA152009873;D'ora in poi ci governerà l'esercito;;;;;;;;;;;;;x
EVTOPTB152009873;Ci opporremo al governo militare!;;;;;;;;;;;;;x
EVTDESC152009874;C'è un gran combattere per le strade di Parigi mentre l'esercito $FROMCOUNTRY_ADJ$ avanza per catturare la città. L'artiglieria è spostata alla Collina di Chaillot, dopo delle barricate improvvisate mentre la fanteria scappa dal 7º arrondissement e si muove sistematicamente di casa in casa, di quartiere in quartiere, combattendo una battaglia contro irregolari armati. L'Arco di Trionfo è demolito dai pionieri mentre l'artiglieria sulla collina mira verso la Torre Eiffel. Per molti minuti la città è assordata dal tuonare dell'artiglieria finché non cala il silenzio e l'unico suono è la stridere del metallo, che lentamente crolla. I soldati nemici urlano eccitati mentre guardano la Torre Eiffel piegarsi e cadere nella Senna, ormai ridotta ad un blocco amorfo di metallo. \n \nIl fuoco imperversa fuori controllo nelle parti orientali della città, illuminando la città mentre i combattimenti continuano nella notte.;;;;;;;;;;;;;x
EVTNAME152009874;Distruzione della Torre Eiffel;;;;;;;;;;;;;x
